Author,Cluster,Effect_ID,Study_design,Cor_type,Cor,p-value,n,Prop_women,Age,Health_status,Testing_context,AAT_measure,IAPA_calculation,PA_objectivity,PA_measure,PA_outcome,PA_component,Mean of PA,Quality_score_10,Comment
"Cheval, 2014","Cheval, 2014",Effect 1,Cross-sectional,Not reported,0.06,0.56,91,0.84,18.9,General population,In-person,Manikin,RT avoid AP - RT approach PA*,Self-reported measure,IPAQ-SF,min/week,MVPA,251 min/week,5,"r, p, mean of PA retrieved from the raw data"
"Cheval, 2015","Cheval, 2015",Effect 2,Interventional,Regression analyses,0.27,0.008,97,0.53,38.3,General population,In-person,Manikin,RT avoid AP - RT approach AP**,Device-based measure,Accelerometer,min/week,MVPA,53.2 min/week,9,
"Cheval, 2016b","Cheval, 2016b",Effect 3,Interventional,Not reported,-0.06,0.52,114,0.57,19.6,General population,Online,Modified Manikin,RT avoid AP - RT approach AP*,Self-reported measure,IPAQ-SF,min/week,MVPA,356 min/week,9,"r, p, mean age, prop_women, and mean of PA retrieved from the raw data"
"Daou, 2017","Daou, 2017",Effect 4,Cross-sectional,Not reported,-0.023,0.81,116,0.7,20.6,General population,In-person,Manikin,RT avoid AP - RT approach AP*,Self-reported measure,IPAQ-SF,min/week,MVPA,511 min/week,7,"r, p, mean age, prop_women, and mean of PA retrieved from the raw data"
"Cheval, 2018","Cheval, 2018",Effect 5,Cross-sectional,Not reported,0.26,0.17,29,0.55,22.8,General population,In-person,Manikin,(RT avoid AP - RT avoid neutral) - (RT approach AP - RT approach neutral)*,Self-reported measure,IPAQ-SF,min/week,MVPA,216 min/week,5,"r, p, mean age, prop_women, and mean of PA retrieved from the raw data"
"Oliver, 2018","Oliver, 2018",Effect 6,Cross-sectional,Regression analyses,0.03,0.76,103,0.69,26.5,General population,In-person,Manikin,RT approach SED - RT approach AP**,Device-based measure,Pedometer,steps/day,Light PA,6073 steps/day,4,PA excluding exercises.
"Hannan, 2019","Hannan, 2019",Effect 7,Cross-sectional,Bivariate - Pearson,0.25,0.01,104,0.72,28.1,General population,In-person,IAT-RF ,(RT avoid AP - RT approach AP)/participant's SD,Self-reported measure,IPAQ-SF,min/week,MVPA,235min/week,5,
"Zenko, 2019","Zenko, 2019",Effect 8,Cross-sectional,Bivariate - Pearson,0.323,0.002,92,0.61,24.8,General population,In-person,Joystick-based AAT,(RT avoid AP - RT approach AP) - (RT avoid neutral - RT approach neutral),Self-reported measure,IPAQ-SF,min/week,MVPA,227min/week,6,Mean of PA of 279min for men (n=37) and 193 for women (n=58)
"Berry, 2020","Berry, 2020",Effect 9,Cross-sectional,Bivariate - Pearson,0.187,0.02,149,0.67,19.4,General population,In-person,Manikin,(RT avoid AP - RT approach AP)/participant's SD,Self-reported measure,GLTEQ,MET score,MVPA,36,4,
"Preis, 2021","Preis, 2021",Effect 10_A1,Interventional,Bivariate - Pearson,-0.023,0.894,36,0.89,22.4,General population,In-person,Joystick-based AAT,(RT avoid PA + RT approach SED) - (RT approach PA + RT avoid SED),Device-based measure,Pedometer,steps/day,Total PA,6611 steps/day,8,
"Preis, 2021","Preis, 2021",Effect 10_A2,Interventional,Bivariate - Pearson,-0.082,0.636,36,0.89,22.4,General population,In-person,Joystick-based AAT,(RT avoid PA + RT approach SED) - (RT approach PA + RT avoid SED),Self-reported measure,IPAQ-SF,min/week,MVPA,253 min/week,8,
"Locke, 2021","Locke, 2021",Effect 11,Cross-sectional,Not reported,0.03,0.7,132,0.43,29,General population,Online,Manikin,(RT avoid AP - RT approach AP)/participant's SD*,Self-reported measure,GLTEQ,MET score,MVPA,51,6,"r, p, mean of PA retrieved from the raw data"
